role_id,member_id,related_member_id,relationship_type,evidence_status
cityrole-0289,m02,m01,partner,experimental_family_template
cityrole-0290,m01,m02,partner,experimental_family_template
cityrole-0290,m02,m01,partner,experimental_family_template
cityrole-0291,m01,m03,partner,experimental_family_template
cityrole-0291,m02,m01,parent,experimental_family_template
cityrole-0291,m03,m01,partner,experimental_family_template
cityrole-0292,m02,m01,parent,experimental_family_template
cityrole-0292,m03,m01,parent,experimental_family_template
cityrole-0293,m01,m02,partner,experimental_family_template
cityrole-0293,m02,m01,partner,experimental_family_template
cityrole-0294,m02,m01,parent,experimental_family_template
cityrole-0294,m03,m01,parent,experimental_family_template
cityrole-0296,m02,m01,parent,experimental_family_template
cityrole-0296,m02,m04,partner,experimental_family_template
cityrole-0296,m03,m01,parent,experimental_family_template
cityrole-0296,m04,m02,partner,experimental_family_template
cityrole-0296,m05,m01,parent,experimental_family_template
cityrole-0296,m06,m01,parent,experimental_family_template
cityrole-0297,m02,m01,parent,experimental_family_template
cityrole-0297,m02,m05,partner,experimental_family_template
cityrole-0297,m03,m02,parent,experimental_family_template
cityrole-0297,m04,m02,parent,experimental_family_template
cityrole-0297,m05,m02,partner,experimental_family_template
cityrole-0299,m02,m01,parent,experimental_family_template
cityrole-0299,m02,m05,partner,experimental_family_template
cityrole-0299,m03,m02,parent,experimental_family_template
cityrole-0299,m04,m02,parent,experimental_family_template
cityrole-0299,m05,m02,partner,experimental_family_template
