case_id,role_id,day_index,simulated_calendar_day,city,province,plan_family_id,plan_family_zh,action_contrast_status,contrast_basis,difference_reason_zh,baseline_owned_device_kwh,candidate_owned_device_kwh,baseline_selected_ac_proxy_kwh,candidate_selected_ac_proxy_kwh,baseline_attributable_kwh,candidate_attributable_kwh,candidate_minus_baseline_attributable_kwh,baseline_all_owned_room_24h_mean_c,candidate_all_owned_room_24h_mean_c,simulated_outdoor_min_c,simulated_outdoor_max_c,weather_kind,metric_scope,temperature_scope,feedback_rows
cityrole-0001/day-01,cityrole-0001,1,07-14,南昌市,江西,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.16,34.16,26.60,33.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0075/day-08,cityrole-0075,8,07-21,贵阳市,贵州,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.338227,1.266114,3.638227,3.566114,-0.072113,32.29,32.34,22.10,29.40,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0075/day-09,cityrole-0075,9,07-22,贵阳市,贵州,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.364104,1.247138,3.664104,3.547138,-0.116966,32.39,32.45,22.90,30.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0075/day-10,cityrole-0075,10,07-23,贵阳市,贵州,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.310930,1.238304,3.610930,3.538304,-0.072626,32.20,32.26,22.10,30.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-01,cityrole-0076,1,07-14,胶州市,山东,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.500000,0.500000,1.476727,1.476727,1.976727,1.976727,0.000000,35.07,35.07,25.60,35.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-02,cityrole-0076,2,07-15,胶州市,山东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,34.98,34.98,24.10,32.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-03,cityrole-0076,3,07-16,胶州市,山东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,33.67,33.68,20.60,28.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-04,cityrole-0076,4,07-17,胶州市,山东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,32.88,32.89,17.90,31.40,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-05,cityrole-0076,5,07-18,胶州市,山东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,0.744576,0.691205,0.744576,0.691205,-0.053371,31.66,31.67,20.00,24.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-06,cityrole-0076,6,07-19,胶州市,山东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,1.800000,1.800000,0.682682,0.629634,2.482682,2.429634,-0.053048,30.19,30.22,19.20,23.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-07,cityrole-0076,7,07-20,胶州市,山东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,29.95,29.97,19.70,26.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-08,cityrole-0076,8,07-21,胶州市,山东,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,0.795760,0.744046,1.295760,1.244046,-0.051714,30.09,30.12,18.60,29.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-09,cityrole-0076,9,07-22,胶州市,山东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,31.01,31.05,21.10,32.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0076/day-10,cityrole-0076,10,07-23,胶州市,山东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,32.17,32.19,21.00,32.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-01,cityrole-0077,1,07-14,徐州市,江苏,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,3.200000,3.200000,5.038141,5.038141,8.238141,8.238141,0.000000,31.19,31.19,23.30,29.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-02,cityrole-0077,2,07-15,徐州市,江苏,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,5.643503,5.327289,5.643503,5.327289,-0.316214,31.20,31.26,22.20,32.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-03,cityrole-0077,3,07-16,徐州市,江苏,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,3.200000,3.200000,0.000000,0.000000,3.200000,3.200000,0.000000,32.72,32.78,23.30,33.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-04,cityrole-0077,4,07-17,徐州市,江苏,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,3.200000,3.200000,0.000000,0.000000,3.200000,3.200000,0.000000,33.32,33.37,23.60,25.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-05,cityrole-0077,5,07-18,徐州市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,3.200000,3.200000,6.488897,6.183437,9.688897,9.383437,-0.305460,32.40,32.49,22.70,26.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-06,cityrole-0077,6,07-19,徐州市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,6.671699,6.404927,7.171699,6.904927,-0.266772,32.28,32.40,25.20,32.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-07,cityrole-0077,7,07-20,徐州市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.700000,2.700000,6.877040,6.625298,9.577040,9.325298,-0.251742,32.42,32.56,25.90,32.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-08,cityrole-0077,8,07-21,徐州市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,3.200000,3.200000,6.381732,6.135554,9.581732,9.335554,-0.246178,32.36,32.52,25.70,31.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-09,cityrole-0077,9,07-22,徐州市,江苏,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,6.737950,6.497254,6.737950,6.497254,-0.240696,32.13,32.30,25.00,31.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0077/day-10,cityrole-0077,10,07-23,徐州市,江苏,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,3.200000,3.200000,0.000000,0.000000,3.200000,3.200000,0.000000,33.32,33.43,25.10,31.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-01,cityrole-0078,1,07-14,张家港市,江苏,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,2.300000,2.300000,2.022703,2.022703,4.322703,4.322703,0.000000,34.35,34.35,27.10,35.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-02,cityrole-0078,2,07-15,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,2.141419,2.017348,4.441419,4.317348,-0.124071,34.60,34.61,27.70,34.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-03,cityrole-0078,3,07-16,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.869154,1.760129,4.169154,4.060129,-0.109025,34.46,34.49,25.30,33.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-04,cityrole-0078,4,07-17,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.499253,1.398165,3.799253,3.698165,-0.101088,33.52,33.56,24.80,29.40,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-05,cityrole-0078,5,07-18,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.899593,1.796884,4.199593,4.096884,-0.102709,33.13,33.17,23.60,34.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-06,cityrole-0078,6,07-19,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.930149,1.912610,4.230149,4.212610,-0.017539,33.79,33.84,26.40,34.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-07,cityrole-0078,7,07-20,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.674389,1.573731,3.974389,3.873731,-0.100658,33.69,33.74,23.20,34.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-08,cityrole-0078,8,07-21,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.666627,1.567742,3.966627,3.867742,-0.098885,33.32,33.38,24.80,30.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-09,cityrole-0078,9,07-22,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.478489,1.379975,3.778489,3.679975,-0.098514,32.84,32.89,22.70,30.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0078/day-10,cityrole-0078,10,07-23,张家港市,江苏,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,2.300000,2.300000,1.457574,1.396724,3.757574,3.696724,-0.060850,32.42,32.47,21.70,30.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-01,cityrole-0079,1,07-14,深圳市,广东,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,33.57,33.57,24.70,29.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-02,cityrole-0079,2,07-15,深圳市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,10.400000,10.400000,0.000000,0.000000,10.400000,10.400000,0.000000,33.47,33.47,24.80,27.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-03,cityrole-0079,3,07-16,深圳市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,33.71,33.71,24.50,30.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-04,cityrole-0079,4,07-17,深圳市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,34.74,34.74,24.40,33.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-05,cityrole-0079,5,07-18,深圳市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.83,35.83,25.40,33.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-06,cityrole-0079,6,07-19,深圳市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,9.900000,9.900000,0.000000,0.000000,9.900000,9.900000,0.000000,36.89,36.89,25.90,34.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-07,cityrole-0079,7,07-20,深圳市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,10.400000,10.400000,0.000000,0.000000,10.400000,10.400000,0.000000,37.88,37.88,26.60,34.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-08,cityrole-0079,8,07-21,深圳市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,38.26,38.26,27.70,35.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-09,cityrole-0079,9,07-22,深圳市,广东,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,10.400000,10.400000,0.000000,0.000000,10.400000,10.400000,0.000000,38.84,38.83,28.70,35.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0079/day-10,cityrole-0079,10,07-23,深圳市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,1.800000,1.800000,0.000000,0.000000,1.800000,1.800000,0.000000,39.05,39.05,27.80,35.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-01,cityrole-0080,1,07-14,温州市,浙江,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.000000,0.000000,2.421056,2.421056,2.421056,2.421056,0.000000,30.83,30.83,26.10,32.40,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-02,cityrole-0080,2,07-15,温州市,浙江,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.464737,2.337997,2.464737,2.337997,-0.126740,30.69,30.78,26.10,32.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-03,cityrole-0080,3,07-16,温州市,浙江,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.246928,2.132101,2.246928,2.132101,-0.114827,30.57,30.72,25.60,31.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-04,cityrole-0080,4,07-17,温州市,浙江,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.052018,1.940751,2.052018,1.940751,-0.111267,29.51,29.68,25.60,29.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-05,cityrole-0080,5,07-18,温州市,浙江,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.05,30.14,26.40,28.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-06,cityrole-0080,6,07-19,温州市,浙江,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.155163,2.035301,2.155163,2.035301,-0.119862,29.64,29.77,26.40,31.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-07,cityrole-0080,7,07-20,温州市,浙江,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.73,31.81,25.80,33.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-08,cityrole-0080,8,07-21,温州市,浙江,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.548881,2.426100,2.548881,2.426100,-0.122781,31.36,31.48,25.70,32.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-09,cityrole-0080,9,07-22,温州市,浙江,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.644794,2.528990,2.644794,2.528990,-0.115804,30.91,31.07,26.40,33.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0080/day-10,cityrole-0080,10,07-23,温州市,浙江,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.709133,2.595070,2.709133,2.595070,-0.114063,31.01,31.18,27.20,34.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-01,cityrole-0081,1,07-14,沈阳市,辽宁,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,36.46,36.46,20.60,31.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-02,cityrole-0081,2,07-15,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,36.53,36.53,20.20,31.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-03,cityrole-0081,3,07-16,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,36.73,36.73,21.20,32.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-04,cityrole-0081,4,07-17,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,36.93,36.92,18.90,33.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-05,cityrole-0081,5,07-18,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,37.24,37.25,23.30,32.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-06,cityrole-0081,6,07-19,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,36.94,36.94,22.40,29.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-07,cityrole-0081,7,07-20,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,36.60,36.61,21.40,30.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-08,cityrole-0081,8,07-21,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,36.03,36.04,22.40,27.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-09,cityrole-0081,9,07-22,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,35.49,35.49,21.40,29.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0081/day-10,cityrole-0081,10,07-23,沈阳市,辽宁,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.300000,2.300000,0.000000,0.000000,2.300000,2.300000,0.000000,35.51,35.52,22.30,31.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-01,cityrole-0082,1,07-14,贵阳市,贵州,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,2.700000,2.700000,0.000000,0.000000,2.700000,2.700000,0.000000,31.76,31.76,22.80,28.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-02,cityrole-0082,2,07-15,贵阳市,贵州,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.600000,12.600000,0.000000,0.000000,12.600000,12.600000,0.000000,31.80,31.80,23.00,28.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-03,cityrole-0082,3,07-16,贵阳市,贵州,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,12.200000,12.200000,0.000000,0.000000,12.200000,12.200000,0.000000,31.71,31.71,21.70,27.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-04,cityrole-0082,4,07-17,贵阳市,贵州,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,12.200000,12.200000,1.349204,1.216558,13.549204,13.416558,-0.132646,31.23,31.24,21.10,27.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-05,cityrole-0082,5,07-18,贵阳市,贵州,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,1.339924,1.218615,1.339924,1.218615,-0.121309,31.04,31.07,21.90,28.00,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-06,cityrole-0082,6,07-19,贵阳市,贵州,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,4.500000,4.500000,1.456203,1.337325,5.956203,5.837325,-0.118878,31.23,31.26,21.90,29.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-07,cityrole-0082,7,07-20,贵阳市,贵州,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,31.69,31.71,22.10,29.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0082/day-08,cityrole-0082,8,07-21,贵阳市,贵州,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,2.700000,2.700000,0.000000,0.000000,2.700000,2.700000,0.000000,31.85,31.86,22.10,29.40,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
